score,darts_remaining,target_amount,target,target_text
157,3,60,T20,Treble Twenty
158,1,60,T20,Treble Twenty
158,2,60,T20,Treble Twenty
158,3,60,T20,Treble Twenty
159,1,60,T20,Treble Twenty
159,2,60,T20,Treble Twenty
159,3,60,T20,Treble Twenty
160,1,60,T20,Treble Twenty
160,2,60,T20,Treble Twenty
160,3,60,T20,Treble Twenty
161,1,60,T20,Treble Twenty
161,2,60,T20,Treble Twenty
161,3,60,T20,Treble Twenty
162,1,60,T20,Treble Twenty
162,2,60,T20,Treble Twenty
162,3,60,T20,Treble Twenty
163,1,60,T20,Treble Twenty
163,2,60,T20,Treble Twenty
163,3,60,T20,Treble Twenty
164,1,60,T20,Treble Twenty
164,2,60,T20,Treble Twenty
164,3,57,T19,Treble Nineteen
165,1,60,T20,Treble Twenty
165,2,60,T20,Treble Twenty
165,3,60,T20,Treble Twenty
166,1,60,T20,Treble Twenty
166,2,60,T20,Treble Twenty
166,3,60,T20,Treble Twenty
167,1,60,T20,Treble Twenty
167,2,60,T20,Treble Twenty
167,3,60,T20,Treble Twenty
168,1,60,T20,Treble Twenty
168,2,60,T20,Treble Twenty
168,3,60,T20,Treble Twenty
169,1,60,T20,Treble Twenty
169,2,60,T20,Treble Twenty
169,3,60,T20,Treble Twenty
170,1,60,T20,Treble Twenty
170,2,60,T20,Treble Twenty
170,3,60,T20,Treble Twenty
171,1,60,T20,Treble Twenty
171,2,60,T20,Treble Twenty
171,3,60,T20,Treble Twenty
172,1,60,T20,Treble Twenty
172,2,60,T20,Treble Twenty
172,3,60,T20,Treble Twenty
173,1,60,T20,Treble Twenty
173,2,60,T20,Treble Twenty
173,3,60,T20,Treble Twenty
174,1,60,T20,Treble Twenty
174,2,60,T20,Treble Twenty
174,3,60,T20,Treble Twenty
175,1,60,T20,Treble Twenty
175,2,60,T20,Treble Twenty
175,3,60,T20,Treble Twenty
176,1,60,T20,Treble Twenty
176,2,60,T20,Treble Twenty
176,3,60,T20,Treble Twenty
177,1,60,T20,Treble Twenty
177,2,60,T20,Treble Twenty
177,3,60,T20,Treble Twenty
178,1,60,T20,Treble Twenty
178,2,60,T20,Treble Twenty
178,3,60,T20,Treble Twenty
179,1,57,T19,Treble Nineteen
179,2,60,T20,Treble Twenty
